,ruid,count
1444,49685,1135228
1445,24628,267598
1446,75786,811419
1447,83943,101301
1448,93786,2303
1449,50904,3406
1450,23030,6
1451,103214,432
1452,5340,170935
1453,100574,1531949
1454,22996,2656
1455,34199,144059
1456,39129,671296
1457,84845,517880
1458,54594,4046
1459,102306,54879
1460,27747,24196
1461,10384,1087
1462,92345,1011974
1463,50739,5547
1464,106856,163
1465,103250,382296
1466,71810,100143
1467,105262,185
1468,34428,33
1469,9520,2
1470,102478,115
1471,15591,1
1472,94395,4
1473,58808,5018677
1474,72524,184642
1475,86089,138240
1476,8854,1681366
1477,71437,735087
1478,50961,29777
1479,11848,1577
1480,50773,27719
1481,100703,470
1482,20973,71306
1483,8873,278
1484,96778,4
1485,98788,2154
1486,15250,168762
1487,12005,10374297
1488,10699,21384
1489,11380,254999
1490,56454,205674
1491,32066,362822
1492,61049,71522
1493,13033,6899
1494,20111,2721
1495,81826,3513
1496,23945,182
1497,15932,2
1498,68907,118371665
1499,6270,23982
1500,27011,28328
1501,16256,4038
1502,40342,1551
1503,103977,76625
1504,11480,8917207
1505,9542,85367
1506,37470,214957
1507,46782,17222
1508,20786,10806
1509,57226,76518
1510,12990,147226
1511,23003,2044
1512,47850,194
1513,6585,18
1514,93660,1412355
1515,83588,868078
1516,75065,1792880
1517,2061,279102
1518,27735,11024479
1519,59470,24796
1520,72565,127914
1521,22538,692
1522,23621,1908
1523,29042,11876
1524,43882,933974
1525,16686,1128704
1526,45715,278712
1527,8157,139815
1528,62078,12609
1529,56623,592
1530,24626,51176
1531,56639,26034
1532,19424,10205
1533,31393,87
1534,101015,4
1535,59301,2
1536,35923,494031
1537,52909,980
1538,31488,67255
1539,23855,9888
1540,50912,66
1541,11565,24159
1542,35745,6020
1543,62085,3
1544,57283,6
1545,19812,959257
1546,24885,135481
1547,86071,110145
1548,93845,60898
1549,21234,18
1550,25413,168
1551,46924,13
1552,51354,64680
1553,34686,5495
1554,11521,3879343
1555,9412,46001
1556,12458,401452
1557,103489,548
1558,101905,343993
1559,22508,32747
1560,101301,504427
1561,8357,19930
1562,105056,248522
1563,23617,14
1564,35797,2
